,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space","Used Space"
09/30/2024 13:56:24,1.5625,1.5625,2.36855149,7.03125,0,0,1.5625,38.4615364,28.125,32.8125,7.875693,68.7938156,16.2986946,7.39339828,58,210.000015,405.000031,0,0,31,0,0,6144,327.9414,5816.05859,5.337588,3.79300022,0,0,89.36812,86.55914
09/30/2024 13:56:25,0,1.5625,0,0.78125,0,0,34.375,42.85714,57.1428528,67.1875,12.890625,68.9567261,16.3372917,7.354801,58,210.000015,405.000031,0,0,38,0,0,6144,327.9414,5816.05859,5.337588,3.72700024,0.0009765625,0,89.36812,86.55914
09/30/2024 13:56:26,0.78125,0,0,1.5625,0,0,15.625,30.76923,13.8461533,50,7.1829915,68.94417,16.3343163,7.35777664,58,210.000015,405.000031,0,0,20,0,0,6144,328.5039,5815.496,5.346743,3.88200021,0,0,89.36812,86.55914
09/30/2024 13:56:27,3.90625,0,0.78125,1.5625,0,0,42.1875,52.3809547,73.4375,41.26984,13.8609886,68.91364,16.3270836,7.36500931,58,210.000015,405.000031,0,2,11,0,0,6144,328.3164,5815.68359,5.34369135,3.91900015,0.0009765625,0,89.36812,86.55914
09/30/2024 13:56:28,0.78125,0,0.78125,4.6875,0,0,12.5,44.6153831,73.01587,47.6923065,11.8952217,68.9361343,16.3324127,7.35968,58,210.000015,405.000031,0,0,28,0,0,6144,328.4414,5815.55859,5.345726,3.772,0.0029296875,0.0009765625,89.36812,86.55914
09/30/2024 13:56:29,0,0,0,0,0,0,9.375,29.6875,53.8461571,53.96825,9.179807,68.9358444,16.3323441,7.359749,58,210.000015,405.000031,0,0,28,0,0,6144,328.5039,5815.496,5.346743,3.76400018,0,0.0009765625,89.36812,86.55914
09/30/2024 13:56:30,0,0.78125,0,0,0,0,14.0625,14.0625,34.375,21.53846,5.35005951,68.91631,16.3277168,7.364376,58,210.000015,405.000031,0,0,34,0,0,6144,328.5039,5815.496,5.346743,3.693,0.0009765625,0.0009765625,89.36812,86.55914
09/30/2024 13:56:31,1.5625,0.78125,0,0,0,0,17.1875,14.0625,10.9375,29.6875,4.78515625,68.8835,16.3199425,7.37215042,58,210.000015,405.000031,0,0,18,0,0,6144,328.5039,5815.496,5.346743,3.726,0,0,89.36812,86.55914
09/30/2024 13:56:32,0.78125,4.6875,0.78125,0,0,0,20.3125,42.1875,76.5625,26.5625,11.1328125,68.89915,16.32365,7.36844254,58,210.000015,405.000031,0,4,16,0,0,6144,328.5039,5815.496,5.346743,3.73500013,0.0009765625,0,89.36812,86.55914
09/30/2024 13:56:33,0,0,0,0,0,0,15.625,42.85714,33.3333321,4.6875,6.031436,68.91285,16.3268967,7.365196,58,210.000015,405.000031,0,0,17,0,0,6144,328.4414,5815.55859,5.345726,3.70500016,0,0,89.36812,86.55914
09/30/2024 13:56:34,0,0,0,0,0,0,9.375,52.30769,55.384613,42.1875,9.953427,68.92768,16.33041,7.361683,58,210.000015,405.000031,0,3,23,0,0,6144,328.4414,5815.55859,5.345726,3.73100019,0.0009765625,0,89.36812,86.55914
09/30/2024 13:56:35,0.78125,1.5625,0,0,0,0,3.125,1.58730149,17.1875,12.6984119,2.45535374,68.92987,16.3309288,7.361164,58,210.000015,405.000031,0,0,7,0,0,6144,328.4414,5815.55859,5.345726,3.7670002,0,0,89.36812,86.55914
09/30/2024 13:56:36,0,0,0,0,0,0,20.3125,50.7692337,87.5,72.30769,14.4305887,68.88608,16.3205528,7.37154,58,210.000015,405.000031,0,0,8,0,0,6144,328.4414,5815.55859,5.345726,3.68500018,0.0009765625,0,89.36812,86.55914
09/30/2024 13:56:37,0,1.5625,0,0,0,0,9.375,16.129034,34.92063,41.26984,6.551218,68.87289,16.3174286,7.37466431,58,210.000015,405.000031,0,5,29,0,0,6144,328.4414,5815.55859,5.345726,3.762,0.0009765625,0,89.36812,86.55914
09/30/2024 13:56:38,0,0,0,0,0,0,28.125,83.33333,64.0625,89.23077,16.54697,68.86424,16.31538,7.376713,58,210.000015,405.000031,0,2,25,0,0,6144,328.8164,5815.18359,5.35182953,3.77900028,0.0009765625,0.0009765625,89.36812,86.55914
09/30/2024 13:56:39,0,0,0,0,0,0,15.625,33.3333321,16.9230766,28.125,5.87539673,68.8773,16.3184738,7.373619,58,210.000015,405.000031,0,0,31,0,0,6144,328.8164,5815.18359,5.35182953,3.75600028,0.0009765625,0.0009765625,89.36812,86.55914
